, allowedP, trueP, n, [sentinel], time
2,4,4,76,0.770689,0.00113414
2,4,4,90,8.68704,0.00172815
2,4,4,107,6.6972,0.00232088
2,4,4,128,6.99139,0.00275837
2,4,4,152,15.2411,0.00420726
2,4,4,181,4.25256,0.00619414
2,4,4,215,6.5401,0.00801637
2,4,4,256,7.77228,0.00992029
2,4,4,304,7.41879,0.0133052
2,4,4,362,17.4657,0.018369
2,4,4,430,18.7009,0.0212583
2,4,4,512,6.38456,0.0257016
2,4,4,608,21.7851,0.0378328
2,4,4,724,8.56682,0.0563588
2,4,4,861,10.009,0.0930494
2,4,4,1024,15.0743,0.0996417
2,4,4,1217,30.1267,0.146604
2,4,4,1448,32.4621,0.216501
2,4,4,1722,26.774,0.323313
2,4,4,2048,50.2559,0.383156
2,4,4,2435,37.1636,0.566962
2,4,4,2896,19.2577,0.852252
2,4,4,3444,28.0925,1.1358
20,4,4,16,5.08428,5.86E-05
20,4,4,19,4.44305,5.09E-05
20,4,4,22,3.74936,0.00158189
20,4,4,26,6.00059,0.000140698
20,4,4,32,5.12512,0.000206557
20,4,4,38,12.0709,0.00026429
20,4,4,45,6.4673,0.000313043
20,4,4,53,10.349,0.000387027
20,4,4,64,8.48267,0.000505487
20,4,4,76,0.770689,0.000716748
20,4,4,90,8.68704,0.000831359
20,4,4,107,6.6972,0.00110634
20,4,4,128,6.99139,0.00143948
20,4,4,152,15.2411,0.00189151
20,4,4,181,4.25256,0.00261981
20,4,4,215,6.5401,0.00357904
20,4,4,256,7.77228,0.00464047
20,4,4,304,7.41879,0.00614539
20,4,4,362,17.4657,0.00878743
20,4,4,430,18.7009,0.0117729
20,4,4,512,6.38456,0.0170715
20,4,4,608,21.7851,0.0225908
20,4,4,724,8.56682,0.0316408
20,4,4,861,10.009,0.0422013
20,4,4,1024,15.0743,0.0577812
20,4,4,1217,30.1267,0.0789471
20,4,4,1448,32.4621,0.117003
20,4,4,1722,26.774,0.161916
20,4,4,2048,50.2559,0.221064
20,4,4,2435,37.1636,0.355151
20,4,4,2896,19.2577,0.454013
20,4,4,3444,28.0925,0.627089
20,4,4,4096,41.5433,1.08563
21,4,4,16,5.08428,5.00E-05
21,4,4,19,4.44305,5.22E-05
21,4,4,22,3.74936,0.0022764
21,4,4,26,6.00059,0.000127869
21,4,4,32,5.12512,0.000212972
21,4,4,38,12.0709,0.000300641
21,4,4,45,6.4673,0.00036094
21,4,4,53,10.349,0.000378901
21,4,4,64,8.48267,0.000512757
21,4,4,76,0.770689,0.000657732
21,4,4,90,8.68704,0.000842906
21,4,4,107,6.6972,0.00109522
21,4,4,128,6.99139,0.00141938
21,4,4,152,15.2411,0.00190434
21,4,4,181,4.25256,0.00264932
21,4,4,215,6.5401,0.00346143
21,4,4,256,7.77228,0.00523534
21,4,4,304,7.41879,0.00721623
21,4,4,362,17.4657,0.0106469
21,4,4,430,18.7009,0.0121984
21,4,4,512,6.38456,0.0165896
21,4,4,608,21.7851,0.022362
21,4,4,724,8.56682,0.0324658
21,4,4,861,10.009,0.0422689
21,4,4,1024,15.0743,0.0588153
21,4,4,1217,30.1267,0.0812902
21,4,4,1448,32.4621,0.11907
21,4,4,1722,26.774,0.181638
21,4,4,2048,50.2559,0.220324
21,4,4,2435,37.1636,0.383479
21,4,4,2896,19.2577,0.455556
21,4,4,3444,28.0925,0.637434
